2020-03-05 09:17:17 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=314776, format=jpeg, width=1080, height=2337, colorModel=ycbcr, orientation=null, name=3c7bf7b6e561a5a2d5cf199b5b73c0a9_1583371024426-watermark) :84
2020-03-05 09:17:17 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=317063, format=jpeg, width=1080, height=2337, colorModel=ycbcr, orientation=null, name=c42c01642f9aa893abd22bc9d733d16e_1583371024434-watermark) :84
2020-03-05 09:17:18 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=316154, format=jpeg, width=1080, height=2337, colorModel=ycbcr, orientation=null, name=ab8737dc6ce6559c976d5f696065655d_1583371024431-watermark) :84
2020-03-05 09:17:18 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=312865, format=jpeg, width=1080, height=2337, colorModel=ycbcr, orientation=null, name=f050435699950f6c56f9cef2499a8fb7_1583371024435-watermark) :84
2020-03-05 09:17:18 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=310455, format=jpeg, width=1080, height=2337, colorModel=ycbcr, orientation=null, name=339f641f4fe9c57df3e9172c8052bf95_1583371024426-watermark) :84
2020-03-05 09:17:19 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=322231, format=jpeg, width=1080, height=2337, colorModel=ycbcr, orientation=null, name=7d6ae1c19cdfd7851ba8fb72317695fe_1583371024436-watermark) :84
2020-03-05 09:18:37 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=1160809, format=png, width=2160, height=1080, colorModel=nrgba, orientation=null, name=6cf197ff07055c8a452557741c1bc3c9_1583371085628-watermark) :84
2020-03-05 09:24:57 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=6586165, format=png, width=2480, height=2513, colorModel=nrgba, orientation=null, name=dc6b77b4f1d220a0ba61bfd49adf3437_1583371467243-watermark) :84
2020-03-05 09:59:26 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=100022, format=jpeg, width=1000, height=967, colorModel=ycbcr, orientation=null, name=7dd40b46617b31a0c9171d0ccf2eb385_1583373560445) :84
2020-03-05 08:38:54 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=118109, format=jpeg, width=2000, height=2000, colorModel=ycbcr, orientation=null, name=2a611235618e10f600d2491ad8826cf4_1583368725308-watermark) :84
2020-03-05 08:41:44 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=463597, format=jpeg, width=3494, height=1987, colorModel=ycbcr, orientation=null, name=ec90cf12b910e32ad606119ff6ec2717_1583368876631-watermark) :84
2020-03-05 07:38:06 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=103395, format=jpeg, width=1013, height=1013, colorModel=ycbcr, orientation=null, name=3cceda52bf3fb0d0c691df8dd669e202_1583365084936) :84
2020-03-05 07:38:06 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=139995, format=jpeg, width=1000, height=1000, colorModel=ycbcr, orientation=null, name=b2628e5c48ee43cd33adcd972f7d1dfa_1583365084941) :84
2020-03-05 07:43:41 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=1872353, format=png, width=1600, height=1600, colorModel=nrgba, orientation=null, name=d103b05a039da1d14a12364b78f1d0da_1583365314274-watermark) :84
2020-03-05 07:43:42 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=3724324, format=png, width=1281, height=2731, colorModel=nrgba, orientation=null, name=18b59564a990c2e17e32b140dd90d0aa_1583365314292-watermark) :84
2020-03-05 04:05:54 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=261073, format=jpeg, width=2166, height=1353, colorModel=ycbcr, orientation=null, name=6cdfcd2e21180a17fc37fbd6a605f6bc_1583352333027-watermark) :84
2020-03-05 02:38:51 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=5803354, format=png, width=2560, height=1920, colorModel=nrgba, orientation=null, name=ce6b803ce3b96e6d6c67893c8ab67cb2_1583347091635-watermark) :84
2020-03-05 02:38:51 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=4548041, format=png, width=1673, height=2560, colorModel=nrgba, orientation=null, name=b5c01dbc9593cda2223d13b8a03e23f9_1583347091621-watermark) :84
2020-03-05 02:38:51 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=5768168, format=png, width=2560, height=1920, colorModel=nrgba, orientation=null, name=b35a547435663214f8d224f23cca1c93_1583347091642-watermark) :84
